codigo_zona,zona,provincia,codigo_provincia 
1,INTERIOR,BUENOS AIRES,1
1,INTERIOR,CATAMARCA,3
1,INTERIOR,CHACO,4
1,INTERIOR,CHUBUT,5
1,INTERIOR,CORDOBA,6
1,INTERIOR,CORRIENTES,7
1,INTERIOR,ENTRE RIOS,8
1,INTERIOR,FORMOSA,9
1,INTERIOR,JUJUY,10
1,INTERIOR,LA PAMPA,11
1,INTERIOR,LA RIOJA,12
1,INTERIOR,MENDOZA,13
1,INTERIOR,MISIONES,14
1,INTERIOR,NEUQUEN,15
1,INTERIOR,RIO NEGRO,17
1,INTERIOR,SALTA,18
1,INTERIOR,SAN JUAN,19
1,INTERIOR,SAN LUIS,20
1,INTERIOR,SANTA CRUZ,21
1,INTERIOR,SANTA FE,22
1,INTERIOR,SANTIAGO DEL ESTERO,23
1,INTERIOR,TIERRA DEL FUEGO,24
1,INTERIOR,TUCUMAN,25
2,NORTE,BUENOS AIRES,1
3,OESTE,BUENOS AIRES,1
4,SUR,BUENOS AIRES,1
5,CAPITAL FEDERAL,CAPITAL FEDERAL,2
100,EXTERIOR,SAN CARLOS,51
100,EXTERIOR,MONTEVIDEO,52
100,EXTERIOR,PAN DE AZÚCAR,53
100,EXTERIOR,PIRIÁPOLIS,54
100,EXTERIOR,PUNTA DEL ESTE,55
100,EXTERIOR,COSTA DE ORO,56
100,EXTERIOR,MALDONADO,57
100,EXTERIOR,COLONIA,58
100,EXTERIOR,JARDÍN DEL MAR - REÑ,59
100,EXTERIOR,SANTIAGO DE CHILE,60
100,EXTERIOR,LA SERENA,61
100,EXTERIOR,ASUNCIÓN,62
100,EXTERIOR,SALVADOR BAHÍA,63
100,EXTERIOR,FLORIANÓPOLIS,64
100,EXTERIOR,LA PAZ,65
100,EXTERIOR,SANTA CRUZ (B),66
100,EXTERIOR,AIGUÁ,68